Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
03/02/2021 09:00,10951.093302,1661.05516,3620.066906,860.418421,14001.803289,3158.752986,7150.229927,1411.418468,42814.83846
03/02/2021 10:00,10954.643967,1602.735209,3556.897738,805.335527,13278.062308,3145.854857,6765.455195,1326.609345,41435.594146
03/02/2021 11:00,10818.337478,1524.903813,3494.102065,757.060007,12644.773101,3110.257337,6400.045924,1241.158187,39990.637911
03/02/2021 12:00,10653.15102,1448.128372,3441.277779,716.924413,12116.988258,3046.269923,6141.54799,1167.650422,38731.938177
03/02/2021 13:00,10457.505557,1402.579351,3395.104507,683.871399,11744.632868,2935.074624,5919.711484,1113.699914,37652.179704
03/02/2021 14:00,10317.795635,1355.705441,3372.754728,666.39552,11450.358756,2828.88618,5699.006538,1052.567948,36743.470746
03/02/2021 15:00,10142.099316,1320.862139,3368.047927,651.183029,11140.424992,2749.683954,5613.444972,1013.239657,35998.985986
03/02/2021 16:00,10029.423362,1305.15835,3359.236308,639.448407,11016.282993,2719.07692,5579.90243,1038.063646,35686.592418
03/02/2021 17:00,9975.646877,1299.555156,3367.427915,641.592608,11071.596687,2708.624344,5687.113752,1052.736909,35804.294248
03/02/2021 18:00,9938.889502,1318.997614,3374.151392,649.255102,11191.125859,2711.056543,5830.727911,1050.516883,36064.720805
03/02/2021 19:00,10240.025519,1415.044999,3390.184867,687.152197,11804.680801,2833.717534,6149.45322,1081.751558,37602.010694
03/02/2021 20:00,10564.27116,1488.6377,3481.311787,729.16988,12383.623734,3021.844762,6478.198757,1134.233943,39281.291724
03/02/2021 21:00,10486.63608,1515.88343,3500.960167,737.108099,12406.225689,3032.258083,6435.231052,1146.234515,39260.537116
03/02/2021 22:00,10273.975853,1499.971084,3519.765709,725.605527,12181.246416,3000.861748,6301.423411,1141.289718,38644.139466
03/02/2021 23:00,9906.256969,1445.562,3526.849474,702.462945,11686.944942,2906.713863,6000.285433,1115.01012,37290.085745
03/02/2021 24:00,9538.879999,1386.580395,3518.618062,679.872571,11202.907851,2766.107101,5714.438429,1103.298268,35910.702676
03/03/2021 01:00,9279.764987,1349.9823,3547.737382,684.466668,10899.126847,2658.16605,5564.557478,1107.871897,35091.673609
03/03/2021 02:00,9179.441641,1349.095259,3562.993343,689.582743,10781.386811,2597.421608,5558.542354,1117.639306,34836.103065
03/03/2021 03:00,9187.9344,1364.113619,3559.120134,697.526554,10871.361778,2581.235909,5630.13816,1134.529164,35025.959718
03/03/2021 04:00,9253.567303,1395.342848,3560.010464,717.870098,11203.636255,2596.744792,5775.158406,1162.587922,35664.918088
03/03/2021 05:00,9579.170862,1464.208628,3569.84321,736.742923,11719.342486,2673.922324,6063.802566,1204.275153,37011.308151
03/03/2021 06:00,10246.352049,1590.582316,3614.733773,793.661767,12734.614354,2881.543099,6638.658557,1284.736643,39784.882559
03/03/2021 07:00,11094.434001,1786.539402,3668.576717,869.574846,14281.289635,3206.050848,7463.388557,1405.881728,43775.735734
03/03/2021 08:00,11402.05536,1825.589553,3680.343912,883.027954,14757.936837,3302.685305,7752.428858,1446.193757,45050.261536
03/03/2021 09:00,11230.104962,1708.019367,3592.894408,839.418958,14122.757475,3148.983797,7272.208729,1357.778359,43272.166056
03/03/2021 10:00,10978.106904,1586.103337,3544.007389,792.168628,13297.717164,2942.406261,6691.777116,1263.209281,41095.496079
03/03/2021 11:00,10757.279423,1485.348611,3476.97847,747.6485,12648.469791,2824.907199,6228.799109,1185.691593,39355.122696
03/03/2021 12:00,10556.58194,1394.40546,3421.443653,711.529068,12057.517773,2752.34863,5887.251616,1128.923469,37910.001609
03/03/2021 13:00,10408.431257,1332.517248,3387.823687,682.836745,11569.407954,2703.831045,5693.259644,1086.914653,36865.022233
03/03/2021 14:00,10310.096485,1305.382743,3395.176346,667.10632,11308.436853,2710.255267,5579.521368,1065.171861,36341.147243
03/03/2021 15:00,10253.630331,1276.471189,3428.840059,652.152754,11113.529536,2748.566062,5550.971458,1053.541623,36077.703013
03/03/2021 16:00,10253.179325,1262.447771,3436.183735,645.773215,11012.627079,2800.337612,5586.580464,1051.285971,36048.415172
03/03/2021 17:00,10221.54374,1267.223783,3420.022067,648.696803,11033.693893,2798.519227,5692.627462,1055.819641,36138.146615
03/03/2021 18:00,10141.434039,1274.834909,3416.956836,654.072173,11147.096816,2777.113408,5817.135286,1062.056233,36290.699702
03/03/2021 19:00,10293.627404,1342.103929,3419.44095,684.387416,11554.365394,2823.576975,6061.341174,1084.600697,37263.443939
03/03/2021 20:00,10496.043243,1385.910378,3477.929005,708.41219,11925.660033,2945.921154,6268.954358,1126.495905,38335.326265
03/03/2021 21:00,10450.145392,1406.459547,3489.596339,701.888847,11817.886692,2924.543155,6159.234039,1122.568806,38072.322818
03/03/2021 22:00,10200.023987,1373.521972,3471.073016,686.837201,11469.191814,2830.403138,5900.009419,1094.520766,37025.581313
03/03/2021 23:00,9791.576892,1315.249252,3456.694589,661.144238,10904.472813,2677.948215,5574.836259,1052.68283,35434.605088
03/03/2021 24:00,9400.164868,1251.430961,3408.520915,634.899702,10260.992415,2477.906589,5206.43073,1016.06644,33656.412619
03/04/2021 01:00,9225.786513,1235.322599,3225.092362,628.496859,9849.64394,2332.549058,4981.366034,997.121883,32475.379248
03/04/2021 02:00,9127.470665,1224.60821,3214.121499,629.135344,9681.163199,2233.859413,4893.779964,991.02851,31995.166804
03/04/2021 03:00,9139.389151,1243.678027,3213.526227,636.554921,9681.265167,2203.02702,4893.73481,995.302311,32006.477634
03/04/2021 04:00,9272.995803,1280.987801,3216.160612,650.626815,9855.928138,2202.269558,4983.303715,993.493397,32455.765838
03/04/2021 05:00,9568.811199,1348.504603,3242.89061,670.898149,10269.184553,2255.716495,5218.980526,1015.948183,33590.934318
03/04/2021 06:00,10220.039538,1464.281985,3270.876133,718.717335,11182.899471,2419.954039,5686.208492,1070.727381,36033.704374
03/04/2021 07:00,11076.90434,1652.726632,3338.661716,793.435084,12545.226095,2696.077734,6404.119848,1170.735161,39677.88661
03/04/2021 08:00,11291.77785,1687.678887,3342.928311,802.977547,13007.676698,2782.127479,6652.099576,1208.624583,40775.890932
03/04/2021 09:00,11197.320502,1606.326735,3297.048692,775.867444,12652.263971,2736.290885,6455.859149,1191.108767,39912.086145
03/04/2021 10:00,11007.055583,1522.088358,3266.160345,759.022612,12161.069445,2701.820229,6124.244305,1167.224917,38708.685794
03/04/2021 11:00,10877.909018,1438.782846,3252.552023,724.195296,11777.094722,2712.092852,5890.377399,1125.793081,37798.797237
03/04/2021 12:00,10825.836589,1374.495762,3263.467489,701.235982,11546.424591,2773.657222,5770.154663,1100.533709,37355.806006
03/04/2021 13:00,10689.369387,1338.774683,3258.255201,685.836052,11340.066998,2837.312061,5736.865781,1081.345463,36967.825626
03/04/2021 14:00,10673.092944,1329.903275,3277.056198,676.832686,11236.927601,2925.729184,5747.476523,1076.229438,36943.24785
03/04/2021 15:00,10643.781443,1325.17449,3290.351774,671.860263,11167.64097,2974.918562,5797.920822,1078.360072,36950.008397
03/04/2021 16:00,10624.725759,1321.891852,3306.322812,671.179447,11086.581542,3005.9557,5846.321091,1088.120867,36951.099068
03/04/2021 17:00,10598.750295,1327.571423,3312.720459,673.973211,11134.58459,3000.570033,5982.67912,1097.668859,37128.51799
03/04/2021 18:00,10478.01245,1330.015636,3278.316502,675.34779,11244.95517,2941.68023,6065.093439,1097.696885,37111.118102
03/04/2021 19:00,10587.812549,1385.553662,3262.650962,695.073562,11643.610711,2968.47479,6234.294888,1106.296576,37883.7677
03/04/2021 20:00,10689.208303,1401.555359,3282.856559,711.093653,11866.063631,3048.929608,6365.172361,1128.458331,38493.337807
03/04/2021 21:00,10522.491772,1383.256187,3253.921384,697.778212,11610.716979,2989.066837,6203.849037,1111.683457,37772.763864
03/04/2021 22:00,10187.939495,1325.945686,3212.944174,669.24164,11096.026412,2877.283356,5911.709829,1080.633842,36361.724435
03/04/2021 23:00,9707.489218,1233.148836,3169.4703,629.008802,10335.468646,2708.942195,5498.288105,1027.10051,34308.916612
03/04/2021 24:00,9295.442618,1161.838859,3145.232649,597.141187,9661.569641,2528.734194,5081.334603,969.041231,32440.334981
03/05/2021 01:00,8871.342005,1143.980692,3081.66273,596.737721,9229.625005,2401.119692,4776.951704,947.271721,31048.691271
